Topic	Subtopic	Description	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	Pedagogical_Order	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books	Extraction_Strategy
Reflection and the equations for curved mirrors teacher support the learning objectives	Reflection and the equations for curved mirrors teacher support the learning objectives	Reflection m54357 Reflection 558c0399-176a-49a9-a4f1-d3b6a16175d6 Section Learning Objectives By the end of this section, you will be able to do the following: Explain reflection from mirrors, describ	high_school	1	physics	2	4	Elective	94	No	Algebra	Learning Objectives By the end of this section, you will be able to do the following: Explain reflection from mirrors, describe image formation as a consequence of reflection from mirrors, apply ray diagrams to predict and interpret image and object locations, and describe applications of mirrors Perform calculations based on the law of reflection and the equations for curved mirrors Teacher Support The learning objectives...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Refraction	Refraction	Refraction m54365 Refraction cce1289f-8a3c-4353-9036-2180e34b55b0 Section Learning Objectives By the end of this section, you will be able to do the following: Explain refraction at media boundaries, 	high_school	1	physics	2	4	Elective	95	No		Learning Objectives By the end of this section, you will be able to do the following: Explain refraction at media boundaries, predict the path of light after passing through a boundary (Snell’s law), describe the index of refraction of materials, explain total internal reflection, and describe applications of refraction and total internal reflection Perform calculations based on the law of refraction, Snell’s law, and the ...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Cosmology	Cosmology	Connection for AP® Courses m54763 Connection for AP® Courses ea90794e-0043-4160-a494-3f370885c7e3 Galaxies are as immense as atoms are small.	undergraduate	1	general_physics	3	4	Elective	96	No	Relativity; Stellar physics	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Electrostatics has proven useful in many areas	Electrostatics has proven useful in many areas	Applications of Electrostatics m42329 Applications of Electrostatics 56ae5355-400b-4330-8552-980b0744e2ca Learning Objectives By the end of this section, you will be able to: The study of electrostati	undergraduate	1	general_physics	4	4	Elective	97	No		Learning Objectives By the end of this section, you will be able to: The study of electrostatics has proven useful in many areas. This module covers just a few of the many applications of electrostatics. Name several realworld applications of the study of electrostatics. The Van de Graaff Generator Van de Graaff generators (or Van de Graaffs) are not only spectacular devices used to demonst...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Radiotherapy and list typical doses for cancer therapy	Radiotherapy and list typical doses for cancer therapy	Therapeutic Uses of Ionizing Radiation m42654 Therapeutic Uses of Ionizing Radiation 96ed6849-22bb-4178-a008-6c09bd197dc6 Learning Objectives By the end of this section, you will be able to: Explain t	undergraduate	1	general_physics	3	4	Elective	98	Yes		Learning Objectives By the end of this section, you will be able to: Explain the concept of radiotherapy and list typical doses for cancer therapy. Therapeutic applications of ionizing radiation, called radiation therapy or radiotherapy, have existed since the discovery of xrays and nuclear radioactivity. Today, radiotherapy is used almost exclusively for cancer therapy, whe...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Heisenberg Uncertainty Principle Revisited	Heisenberg Uncertainty Principle Revisited	The Yukawa Particle and the Heisenberg Uncertainty Principle Revisited m42669 The Yukawa Particle and the Heisenberg Uncertainty Principle Revisited 838d9f2b-d65b-44a7-b2d1-7897af0bc74f Learning Objec	undergraduate	1	general_physics	3	4	Elective	99	No		Learning Objectives By the end of this section, you will be able to: Define Yukawa particle. State the Heisenberg uncertainty principle. Describe pion. Estimate the mass of a pion. Explain meson. Particle physics as we know it today began with the ideas of Hideki Yukawa in 1935. Physicists had long been concerned...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Galactic Astronomy	Galactic Astronomy	Connection for AP® Courses m54824 Connection for AP® Courses 94ce2252-3ea7-441e-ab50-b7414b56e185 This galaxy is ejecting huge jets of matter, powered by an immensely massive black hole at its center.	undergraduate	1	general_physics	3	4	Elective	100	No		Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Reflection The Law of Reflection By the end of this section	Reflection The Law of Reflection By the end of this section	The Law of Reflection m58509 The Law of Reflection By the end of this section, you will be able to: Explain the reflection of light from polished and rough surfaces Describe the principle and applicat	undergraduate	1	general_physics	3	4	Elective	101	No		Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Diffusion and drift current (zero applied voltage) explain the response of a p-n junction to a forward and reverse bias voltage describe the function of a transistor in an electric circuit use the concept of a p-n junction to explain its applications in audio amplifiers and computers 62a6715c-39f4-44d6-b99d-	Diffusion and drift current (zero applied voltage) explain the response of a p-n junction to a forward and reverse bias voltage describe the function of a transistor in an electric circuit use the concept of a p-n junction to explain its applications in audio amplifiers and computers 62a6715c-39f4-44d6-b99d-	Semiconductor Devices m58601 Semiconductor Devices By the end of this section, you will be able to: Describe what occurs when n- and p-type materials are joined together using the concept of diffusion	undergraduate	1	general_physics	3	4	Elective	102	Yes		Perform calculations and solve problems; Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Fundamental particles and their interactions i	Fundamental particles and their interactions i	Introduction to Particle Physics m58768 Introduction to Particle Physics By the end of this section, you will be able to: Describe the four fundamental forces and what particles participate in them Id	undergraduate	1	general_physics	4	4	Elective	103	No		Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The objects that lie beyond our planet earth and the processes by which these objects interact with one another	The objects that lie beyond our planet earth and the processes by which these objects interact with one another	The Nature of Astronomy m59747 The Nature of Astronomy 7f11b6c9-3774-45f2-89e7-65c0196f6c29 Astronomy is defined as the study of the objects that lie beyond our planet Earth and the processes by which	undergraduate	1	astronomy	4	4	Elective	104	No		Master core concepts; Apply knowledge effectively	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
The heavens was not an abst	The heavens was not an abst	Astrology and Astronomy m59772 Astrology and Astronomy 3e7849d9-bda2-4f03-8517-953f63735a69 Learning Objectives By the end of this section, you will be able to: Explain the origins of astrology Explai	undergraduate	1	astronomy	4	4	Elective	105	No		Learning Objectives By the end of this section, you will be able to: Explain the origins of astrology Explain what a horoscope is Summarize the arguments that invalidate astrology as a scientific practice Many ancient cultures regarded the planets and stars as representatives or symbols of the gods or other supernatural forces that controlled their lives. For them, the study of the heavens was not an abst...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Motion and forces explain how galileo’s discoveries tilted the balance of evidence in favor of th	Motion and forces explain how galileo’s discoveries tilted the balance of evidence in favor of th	The Birth of Modern Astronomy m59765 The Birth of Modern Astronomy 0fa12f98-6991-469f-9e81-e518d4b1507b Learning Objectives By the end of this section, you will be able to: Explain how Copernicus deve	undergraduate	1	astronomy	4	4	Elective	106	No		Learning Objectives By the end of this section, you will be able to: Explain how Copernicus developed the heliocentric model of the solar system Explain the Copernican model of planetary motion and describe evidence or arguments in favor of it Describe Galileo’s discoveries concerning the study of motion and forces Explain how Galileo’s discoveries tilted the balance of evidence in favor of th...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Stellar Evolution The H–R Diagram and the Study of Stellar Evolution Learning Objectives By the end of this section	Stellar Evolution The H–R Diagram and the Study of Stellar Evolution Learning Objectives By the end of this section	The H–R Diagram and the Study of Stellar Evolution m59918 The H–R Diagram and the Study of Stellar Evolution c80b855e-bbb9-49a4-89ca-cceaa1621efd Learning Objectives By the end of this section, you wi	undergraduate	1	astronomy	4	4	Elective	107	No	Gravity; Thermodynamics; Nuclear physics	Learning Objectives By the end of this section, you will be able to: Determine the age of a protostar using an H–R diagram and the protostar’s luminosity and temperature Explain the interplay between gravity and pressure, and how the contracting protostar changes its position in the H–R diagram as a result One of the best ways to summarize all of these...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Atomic Physics	Atomic Physics	Introduction m54082 Introduction 40fee541-6064-4639-be4a-e68a6fefb734 Teacher Support Before students begin this chapter, it is useful to review the following concepts: The definition of the atom and 	high_school	1	physics	2	4	Elective	108	Yes	Electromagnetism; Quantum mechanics	Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	Physics	content_processing
Quantum Mechanics	Quantum Mechanics	Physics: Definitions and Applications m54057 Physics: Definitions and Applications 5f0710fe-1028-4ac4-b8fd-b0a6c792c642 Section Learning Objectives By the end of this section, you will be able to do t	high_school	1	physics	3	4	Elective	109	Yes	Atomic structure; Waves; Classical mechanics	Learning Objectives By the end of this section, you will be able to do the following: Describe the definition, aims, and branches of physics Describe and distinguish classical physics from modern physics and describe the importance of relativity, quantum mechanics, and relativistic quantum mechanics in modern physics Describe how aspects of physics are used in other sci...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Magnetism	Magnetism	The Electromagnetic Spectrum m54342 The Electromagnetic Spectrum 7d996634-c209-41d3-a183-18f0081f9388 Section Learning Objectives By the end of this section, you will be able to do the following: Defi	high_school	1	physics	2	4	Elective	110	Yes	Electricity	Learning Objectives By the end of this section, you will be able to do the following: Define the electromagnetic spectrum, and describe it in terms of frequencies and wavelengths Describe and explain the differences and similarities of each section of the electromagnetic spectrum and the applications of radiation from those sections Teacher Support The learning objectives in this section...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Stellar Physics	Stellar Physics	The Universe of the Very Small m59760 The Universe of the Very Small 15fa90be-da2d-48d6-bae9-f3b84d1d3960 The foregoing discussion has likely impressed on you that the universe is extraordinarily larg	undergraduate	1	astronomy	3	4	Elective	111	No	Gravity; Thermodynamics; Nuclear physics	Master core concepts; Apply knowledge effectively	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
